-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
         nvjet_tst_192x208_64x4_2x1_v_bz_coopB_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     954.286ms         1.51%     954.286ms     944.838us          1010  
                                aten::cudnn_convolution         0.06%      43.396ms         0.65%     443.132ms     418.049us     641.663ms         1.02%     779.956ms     735.808us          1060  
                                         aten::rms_norm         0.03%      19.908ms         0.98%     671.165ms     784.988us       0.000us         0.00%     760.159ms     889.075us           855  
                                              aten::cat         0.07%      46.922ms         0.35%     236.668ms      79.499us     750.456ms         1.19%     754.075ms     253.300us          2977  
         nvjet_tst_256x152_64x4_1x2_h_bz_coopA_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     753.305ms         1.19%     753.305ms       2.249ms           335  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     651.970ms         1.03%     651.970ms     202.790us          3215  
                                             aten::add_         0.07%      47.970ms         0.30%     204.954ms      35.650us     631.784ms         1.00%     638.880ms     111.129us          5749  
                                               aten::to         0.01%       6.205ms         7.05%        4.820s     490.562us       0.000us         0.00%     596.498ms      60.712us          9825  
                                         aten::_to_copy         0.03%      21.184ms         7.04%        4.814s       1.046ms       0.000us         0.00%     596.498ms     129.673us          4600  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     570.392ms         0.90%     570.392ms      94.373us          6044  
autograd::engine::evaluate_function: ScaledDotProduc...         0.00%     916.771us         0.02%      10.719ms     178.647us       0.000us         0.00%     567.534ms       9.459ms            60  
            ScaledDotProductEfficientAttentionBackward0         0.00%       2.495ms         0.01%       9.802ms     163.367us       0.000us         0.00%     567.534ms       9.459ms            60  
aten::_scaled_dot_product_efficient_attention_backwa...         0.00%       1.056ms         0.01%       7.307ms     121.788us       0.000us         0.00%     567.534ms       9.459ms            60  
                    aten::_efficient_attention_backward         0.00%       1.172ms         0.01%       5.448ms      90.804us     563.011ms         0.89%     567.534ms       9.459ms            60  
fmha_cutlassB_bf16_aligned_64x64_k64_sm80(PyTorchMem...         0.00%       0.000us         0.00%       0.000us       0.000us     563.011ms         0.89%     563.011ms       9.384ms            60  
autograd::engine::evaluate_function: ConvolutionBack...         0.01%       9.194ms         0.10%      68.873ms      80.553us       0.000us         0.00%     549.647ms     642.862us           855  
                                   ConvolutionBackward0         0.00%       2.573ms         0.09%      59.679ms      69.800us       0.000us         0.00%     549.647ms     642.862us           855  
                             aten::convolution_backward         0.04%      28.941ms         0.08%      57.106ms      66.791us     545.924ms         0.86%     549.647ms     642.862us           855  
                                            aten::clone         0.01%       9.543ms         0.23%     159.579ms      43.661us       0.000us         0.00%     532.430ms     145.672us          3655  
              nvjet_tst_192x208_64x4_2x1_v_bz_coopB_NNT         0.00%       0.000us         0.00%       0.000us       0.000us     516.557ms         0.82%     516.557ms       1.260ms           410  
                                           aten::matmul         0.01%       9.752ms         0.22%     147.765ms     149.257us       0.000us         0.00%     436.222ms     440.629us           990  
       autograd::engine::evaluate_function: MmBackward0         0.01%       6.814ms        10.55%        7.217s      15.036ms       0.000us         0.00%     417.620ms     870.043us           480  
                                            MmBackward0         0.02%      13.901ms        10.54%        7.211s      15.022ms       0.000us         0.00%     417.620ms     870.043us           480  
