-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      aten::convolution         0.01%       5.388ms         0.23%     118.085ms     179.461us       0.000us         0.00%     409.903ms     622.954us           658  
                                     aten::_convolution         0.01%       6.001ms         0.22%     112.698ms     171.273us       0.000us         0.00%     409.903ms     622.954us           658  
                                              aten::cat         0.08%      43.933ms         0.15%      75.450ms      26.633us     399.284ms         0.70%     399.284ms     140.941us          2833  
                                         aten::rms_norm         0.04%      18.702ms         0.62%     320.053ms     374.331us       0.000us         0.00%     372.654ms     435.853us           855  
                                               aten::to         0.02%       8.536ms         5.26%        2.724s     287.604us       0.000us         0.00%     349.035ms      36.849us          9472  
                                         aten::_to_copy         0.04%      20.895ms         5.24%        2.716s     585.647us       0.000us         0.00%     349.035ms      75.272us          4637  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     323.557ms         0.57%     323.557ms     100.640us          3215  
                                aten::cudnn_convolution         0.12%      60.502ms         0.17%      89.998ms     140.621us     310.204ms         0.55%     313.107ms     489.229us           640  
                                             aten::add_         0.08%      43.103ms         0.17%      89.879ms      17.235us     289.369ms         0.51%     289.373ms      55.489us          5215  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     277.784ms         0.49%     277.784ms      45.960us          6044  
                                            aten::clone         0.02%       8.897ms         0.20%     104.772ms      34.363us       0.000us         0.00%     261.857ms      85.883us          3049  
       autograd::engine::evaluate_function: MmBackward0         0.01%       6.642ms         6.83%        3.542s       7.378ms       0.000us         0.00%     253.755ms     528.656us           480  
                                            MmBackward0         0.03%      13.236ms         6.82%        3.535s       7.365ms       0.000us         0.00%     253.755ms     528.656us           480  
autograd::engine::evaluate_function: ScaledDotProduc...         0.00%     875.498us         0.02%       9.698ms     161.626us       0.000us         0.00%     249.956ms       4.166ms            60  
            ScaledDotProductEfficientAttentionBackward0         0.00%       2.254ms         0.02%       8.822ms     147.034us       0.000us         0.00%     249.956ms       4.166ms            60  
